fill	showSelected1	PANEL	group	ymin	ymax	xmin	xmax
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1325471760	1327649040
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	2	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1328150160	1330327440
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
#FEE0D2	people slightly injured	1	1	0	1	1330655760	1332833040
