colour	x	y	label	key	clickSelects	showSelected1	PANEL	group
#D9D9D9	19	1898	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	27	4356	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	27	3622	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	18	3783	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	5	3603	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	11	3545	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	10	3738	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	5	3148	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	3	2455	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#8DD3C7	11	848	Berri	Berri	Berri	Berri	2	1
#8DD3C7	24	868	Berri	Berri	Berri	Berri	2	1
#8DD3C7	30	1534	Berri	Berri	Berri	Berri	2	1
#8DD3C7	12	3382	Berri	Berri	Berri	Berri	2	1
#8DD3C7	31	7357	Berri	Berri	Berri	Berri	2	1
#8DD3C7	17	7899	Berri	Berri	Berri	Berri	2	1
#8DD3C7	4	7556	Berri	Berri	Berri	Berri	2	1
#8DD3C7	17	6593	Berri	Berri	Berri	Berri	2	1
#8DD3C7	9	7078	Berri	Berri	Berri	Berri	2	1
#8DD3C7	1	1556	Berri	Berri	Berri	Berri	2	1
#BEBADA	4	534	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	18	614	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	31	1082	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	30	1800	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	31	3214	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	7	3390	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	7	3127	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	31	3403	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	8	3640	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	5	1453	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#80B1D3	12	699	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	24	707	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	31	1257	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	29	2512	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	31	5420	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	17	5855	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	4	5441	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	17	4664	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	9	5068	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	11	3876	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	2	2971	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FDB462	13	989	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	18	1018	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	31	2167	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	29	4240	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	31	8697	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	7	8832	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	5	8470	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	31	8048	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	8	8683	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	5	6530	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	2	5158	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FB8072	13	766	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	18	729	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	31	1521	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	12	2448	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	31	4611	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	16	4837	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	19	4463	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	31	4557	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	27	5077	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	11	4207	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	2	3443	du Parc	du Parc	du Parc	du Parc	2	4
#B3DE69	2	506	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	1	503	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	17	520	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	30	2681	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	31	3473	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	19	4362	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	2	4544	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	13	3923	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	11	3460	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	10	3172	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	2	1071	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#FCCDE5	13	769	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	24	795	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	30	1616	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	30	4442	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	25	5764	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	3	8015	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	4	6538	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	31	6436	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	9	6362	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	1	2100	Rachel	Rachel	Rachel	Rachel	2	8
#8DD3C7	10	897	Berri	Berri	Berri	Berri	2	1
#8DD3C7	21	941	Berri	Berri	Berri	Berri	2	1
#8DD3C7	21	3329	Berri	Berri	Berri	Berri	2	1
#8DD3C7	19	4731	Berri	Berri	Berri	Berri	2	1
#8DD3C7	24	6985	Berri	Berri	Berri	Berri	2	1
