colour	x	y	group	clickSelects	showSelected1	PANEL
#BEBADA	1316019600	1629.53333333333	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1318611600	495.777777777778	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1326560400	2	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1329238800	3.64285714285714	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1331744400	421.777777777778	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1334422800	971.233333333333	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1337014800	1753.54838709677	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1339693200	1960.86666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1342285200	1924.41935483871	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1344963600	1986.74193548387	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1347642000	1932.86666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1350234000	1463.41935483871	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1352912400	788.2	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1358182800	19.0588235294118	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1360861200	5.25	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1363280400	177.464285714286	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1365958800	1060.8	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1368550800	2007.38709677419	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1371229200	1861.76666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1373821200	1996.51612903226	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1376499600	1949.03225806452	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1379178000	2295	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#FB8072	1287075600	1743.92307692308	4	du Parc	du Parc	2
#FB8072	1289754000	1308.23333333333	4	du Parc	du Parc	2
#FB8072	1292346000	165.709677419355	4	du Parc	du Parc	2
#FB8072	1295024400	160.129032258065	4	du Parc	du Parc	2
#FB8072	1297702800	115.892857142857	4	du Parc	du Parc	2
#FB8072	1300122000	308	4	du Parc	du Parc	2
#FB8072	1302800400	1123.83333333333	4	du Parc	du Parc	2
#FB8072	1305392400	2098.38709677419	4	du Parc	du Parc	2
#FB8072	1308070800	3043.46666666667	4	du Parc	du Parc	2
#FB8072	1310662800	2888.03225806452	4	du Parc	du Parc	2
#FB8072	1313341200	2720.83870967742	4	du Parc	du Parc	2
#FB8072	1316019600	3130.3	4	du Parc	du Parc	2
#FB8072	1318611600	2147.03225806452	4	du Parc	du Parc	2
#FB8072	1321290000	2074.66666666667	4	du Parc	du Parc	2
#FB8072	1326560400	99.6129032258064	4	du Parc	du Parc	2
#FB8072	1329238800	167.310344827586	4	du Parc	du Parc	2
#FB8072	1331744400	693.129032258065	4	du Parc	du Parc	2
#FB8072	1334422800	1534.93333333333	4	du Parc	du Parc	2
#FB8072	1337014800	2527.58064516129	4	du Parc	du Parc	2
#FB8072	1339693200	2873	4	du Parc	du Parc	2
#FB8072	1342285200	2839.03225806452	4	du Parc	du Parc	2
#FB8072	1344963600	2718.09677419355	4	du Parc	du Parc	2
#FB8072	1347642000	2887.03333333333	4	du Parc	du Parc	2
#FB8072	1350234000	2309.90322580645	4	du Parc	du Parc	2
#FB8072	1352912400	1403.2	4	du Parc	du Parc	2
#FB8072	1358182800	112.258064516129	4	du Parc	du Parc	2
#FB8072	1360861200	138.785714285714	4	du Parc	du Parc	2
#FB8072	1363280400	343.354838709677	4	du Parc	du Parc	2
#FB8072	1365958800	1486	4	du Parc	du Parc	2
#FB8072	1368550800	2657.48387096774	4	du Parc	du Parc	2
#FB8072	1371229200	2508.5	4	du Parc	du Parc	2
#FB8072	1373821200	2758.51612903226	4	du Parc	du Parc	2
#FB8072	1376499600	2560.58064516129	4	du Parc	du Parc	2
#FB8072	1379178000	2811.16666666667	4	du Parc	du Parc	2
#80B1D3	1244998800	2004	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1247590800	2234	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1250269200	1886.12903225806	5	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1252947600	1572.17857142857	5	Maisonneuve 1	Maisonneuve 1	2
