colour	x	y	tooltip	clickSelects	showSelected1	PANEL
#BEBADA	1295024400	9.38461538461539	244 cyclists counted at C么te-Sainte-Catherine in 26 days of janvier 2011 (mean 9 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1297702800	33.3529411764706	567 cyclists counted at C么te-Sainte-Catherine in 17 days of f茅vrier 2011 (mean 33 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1300122000	122.875	2949 cyclists counted at C么te-Sainte-Catherine in 24 days of mars 2011 (mean 122 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1302800400	708.3	21249 cyclists counted at C么te-Sainte-Catherine in 30 days of avril 2011 (mean 708 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1305392400	1362.70967741936	42244 cyclists counted at C么te-Sainte-Catherine in 31 days of mai 2011 (mean 1362 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1308070800	1964.33333333333	58930 cyclists counted at C么te-Sainte-Catherine in 30 days of juin 2011 (mean 1964 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1310662800	1837.16129032258	56952 cyclists counted at C么te-Sainte-Catherine in 31 days of juillet 2011 (mean 1837 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1313341200	1823.58064516129	56531 cyclists counted at C么te-Sainte-Catherine in 31 days of ao没t 2011 (mean 1823 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1316019600	1629.53333333333	48886 cyclists counted at C么te-Sainte-Catherine in 30 days of septembre 2011 (mean 1629 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1318611600	495.777777777778	8924 cyclists counted at C么te-Sainte-Catherine in 18 days of octobre 2011 (mean 495 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1326560400	2	38 cyclists counted at C么te-Sainte-Catherine in 19 days of janvier 2012 (mean 2 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1329238800	3.64285714285714	51 cyclists counted at C么te-Sainte-Catherine in 14 days of f茅vrier 2012 (mean 3 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1331744400	421.777777777778	11388 cyclists counted at C么te-Sainte-Catherine in 27 days of mars 2012 (mean 421 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1334422800	971.233333333333	29137 cyclists counted at C么te-Sainte-Catherine in 30 days of avril 2012 (mean 971 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1337014800	1753.54838709677	54360 cyclists counted at C么te-Sainte-Catherine in 31 days of mai 2012 (mean 1753 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1339693200	1960.86666666667	58826 cyclists counted at C么te-Sainte-Catherine in 30 days of juin 2012 (mean 1960 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1342285200	1924.41935483871	59657 cyclists counted at C么te-Sainte-Catherine in 31 days of juillet 2012 (mean 1924 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1344963600	1986.74193548387	61589 cyclists counted at C么te-Sainte-Catherine in 31 days of ao没t 2012 (mean 1986 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1347642000	1932.86666666667	57986 cyclists counted at C么te-Sainte-Catherine in 30 days of septembre 2012 (mean 1932 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1350234000	1463.41935483871	45366 cyclists counted at C么te-Sainte-Catherine in 31 days of octobre 2012 (mean 1463 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1352912400	788.2	3941 cyclists counted at C么te-Sainte-Catherine in 5 days of novembre 2012 (mean 788 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1358182800	19.0588235294118	324 cyclists counted at C么te-Sainte-Catherine in 17 days of janvier 2013 (mean 19 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1360861200	5.25	84 cyclists counted at C么te-Sainte-Catherine in 16 days of f茅vrier 2013 (mean 5 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1363280400	177.464285714286	4969 cyclists counted at C么te-Sainte-Catherine in 28 days of mars 2013 (mean 177 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1365958800	1060.8	31824 cyclists counted at C么te-Sainte-Catherine in 30 days of avril 2013 (mean 1060 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1368550800	2007.38709677419	62229 cyclists counted at C么te-Sainte-Catherine in 31 days of mai 2013 (mean 2007 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1371229200	1861.76666666667	55853 cyclists counted at C么te-Sainte-Catherine in 30 days of juin 2013 (mean 1861 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1373821200	1996.51612903226	61892 cyclists counted at C么te-Sainte-Catherine in 31 days of juillet 2013 (mean 1996 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1376499600	1949.03225806452	60420 cyclists counted at C么te-Sainte-Catherine in 31 days of ao没t 2013 (mean 1949 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#BEBADA	1379178000	2295	41310 cyclists counted at C么te-Sainte-Catherine in 18 days of septembre 2013 (mean 2295 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#80B1D3	1244998800	2004	46092 cyclists counted at Maisonneuve 1 in 23 days of juin 2009 (mean 2004 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1247590800	2234	17872 cyclists counted at Maisonneuve 1 in 8 days of juillet 2009 (mean 2234 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1250269200	1886.12903225806	58470 cyclists counted at Maisonneuve 1 in 31 days of ao没t 2009 (mean 1886 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1252947600	1572.17857142857	44021 cyclists counted at Maisonneuve 1 in 28 days of septembre 2009 (mean 1572 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1255539600	720.5	21615 cyclists counted at Maisonneuve 1 in 30 days of octobre 2009 (mean 720 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1258218000	817.566666666667	24527 cyclists counted at Maisonneuve 1 in 30 days of novembre 2009 (mean 817 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1260810000	171.935483870968	5330 cyclists counted at Maisonneuve 1 in 31 days of d茅cembre 2009 (mean 171 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1263488400	109.516129032258	3395 cyclists counted at Maisonneuve 1 in 31 days of janvier 2010 (mean 109 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1266166800	147.607142857143	4133 cyclists counted at Maisonneuve 1 in 28 days of f茅vrier 2010 (mean 147 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1268586000	583.129032258065	18077 cyclists counted at Maisonneuve 1 in 31 days of mars 2010 (mean 583 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1271264400	1411.13333333333	42334 cyclists counted at Maisonneuve 1 in 30 days of avril 2010 (mean 1411 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1273856400	2566.22580645161	79553 cyclists counted at Maisonneuve 1 in 31 days of mai 2010 (mean 2566 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1276534800	3026.53333333333	90796 cyclists counted at Maisonneuve 1 in 30 days of juin 2010 (mean 3026 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1279126800	3006.51612903226	93202 cyclists counted at Maisonneuve 1 in 31 days of juillet 2010 (mean 3006 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1281805200	2289.8	34347 cyclists counted at Maisonneuve 1 in 15 days of ao没t 2010 (mean 2289 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1287075600	1482.45833333333	35579 cyclists counted at Maisonneuve 1 in 24 days of octobre 2010 (mean 1482 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1289754000	1021.7	30651 cyclists counted at Maisonneuve 1 in 30 days of novembre 2010 (mean 1021 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1292346000	142.548387096774	4419 cyclists counted at Maisonneuve 1 in 31 days of d茅cembre 2010 (mean 142 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1295024400	115.516129032258	3581 cyclists counted at Maisonneuve 1 in 31 days of janvier 2011 (mean 115 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1297702800	101.214285714286	2834 cyclists counted at Maisonneuve 1 in 28 days of f茅vrier 2011 (mean 101 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1300122000	210.645161290323	6530 cyclists counted at Maisonneuve 1 in 31 days of mars 2011 (mean 210 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1302800400	1025.63333333333	30769 cyclists counted at Maisonneuve 1 in 30 days of avril 2011 (mean 1025 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1305392400	2308.16129032258	71553 cyclists counted at Maisonneuve 1 in 31 days of mai 2011 (mean 2308 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1308070800	3598.83333333333	107965 cyclists counted at Maisonneuve 1 in 30 days of juin 2011 (mean 3598 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1310662800	3375.74193548387	104648 cyclists counted at Maisonneuve 1 in 31 days of juillet 2011 (mean 3375 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1313341200	3046.70967741935	94448 cyclists counted at Maisonneuve 1 in 31 days of ao没t 2011 (mean 3046 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1316019600	3021.7	90651 cyclists counted at Maisonneuve 1 in 30 days of septembre 2011 (mean 3021 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1318611600	1894.96774193548	58744 cyclists counted at Maisonneuve 1 in 31 days of octobre 2011 (mean 1894 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1321290000	2148	6444 cyclists counted at Maisonneuve 1 in 3 days of novembre 2011 (mean 2148 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1326560400	106.709677419355	3308 cyclists counted at Maisonneuve 1 in 31 days of janvier 2012 (mean 106 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1329238800	157.689655172414	4573 cyclists counted at Maisonneuve 1 in 29 days of f茅vrier 2012 (mean 157 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1331744400	586.903225806452	18194 cyclists counted at Maisonneuve 1 in 31 days of mars 2012 (mean 586 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1334422800	1643.73333333333	49312 cyclists counted at Maisonneuve 1 in 30 days of avril 2012 (mean 1643 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1337014800	3039.48387096774	94224 cyclists counted at Maisonneuve 1 in 31 days of mai 2012 (mean 3039 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1339693200	3173.76666666667	95213 cyclists counted at Maisonneuve 1 in 30 days of juin 2012 (mean 3173 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1342285200	3289.32258064516	101969 cyclists counted at Maisonneuve 1 in 31 days of juillet 2012 (mean 3289 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1344963600	3068.06451612903	95110 cyclists counted at Maisonneuve 1 in 31 days of ao没t 2012 (mean 3068 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1347642000	2784.66666666667	83540 cyclists counted at Maisonneuve 1 in 30 days of septembre 2012 (mean 2784 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1350234000	2050.03225806452	63551 cyclists counted at Maisonneuve 1 in 31 days of octobre 2012 (mean 2050 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1352912400	1167.4	5837 cyclists counted at Maisonneuve 1 in 5 days of novembre 2012 (mean 1167 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1358182800	121.709677419355	3773 cyclists counted at Maisonneuve 1 in 31 days of janvier 2013 (mean 121 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1360861200	146.535714285714	4103 cyclists counted at Maisonneuve 1 in 28 days of f茅vrier 2013 (mean 146 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1363280400	320.161290322581	9925 cyclists counted at Maisonneuve 1 in 31 days of mars 2013 (mean 320 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1365958800	1396.23333333333	41887 cyclists counted at Maisonneuve 1 in 30 days of avril 2013 (mean 1396 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1368550800	2947.16129032258	91362 cyclists counted at Maisonneuve 1 in 31 days of mai 2013 (mean 2947 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1371229200	2731.86666666667	81956 cyclists counted at Maisonneuve 1 in 30 days of juin 2013 (mean 2731 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1373821200	2961.38709677419	91803 cyclists counted at Maisonneuve 1 in 31 days of juillet 2013 (mean 2961 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1376499600	2806.03225806452	86987 cyclists counted at Maisonneuve 1 in 31 days of ao没t 2013 (mean 2806 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#80B1D3	1379178000	2607.5	46935 cyclists counted at Maisonneuve 1 in 18 days of septembre 2013 (mean 2607 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2
#FDB462	1244998800	3591.30434782609	82600 cyclists counted at Maisonneuve 2 in 23 days of juin 2009 (mean 3591 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1247590800	3944.41935483871	122277 cyclists counted at Maisonneuve 2 in 31 days of juillet 2009 (mean 3944 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1250269200	3919.67741935484	121510 cyclists counted at Maisonneuve 2 in 31 days of ao没t 2009 (mean 3919 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1252947600	4445.5	133365 cyclists counted at Maisonneuve 2 in 30 days of septembre 2009 (mean 4445 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1255539600	2535.45161290323	78599 cyclists counted at Maisonneuve 2 in 31 days of octobre 2009 (mean 2535 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1258218000	2050.76666666667	61523 cyclists counted at Maisonneuve 2 in 30 days of novembre 2009 (mean 2050 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1260810000	456.161290322581	14141 cyclists counted at Maisonneuve 2 in 31 days of d茅cembre 2009 (mean 456 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1263488400	301.774193548387	9355 cyclists counted at Maisonneuve 2 in 31 days of janvier 2010 (mean 301 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1266166800	344.821428571429	9655 cyclists counted at Maisonneuve 2 in 28 days of f茅vrier 2010 (mean 344 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1268586000	1270.09677419355	39373 cyclists counted at Maisonneuve 2 in 31 days of mars 2010 (mean 1270 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1271264400	2718.26666666667	81548 cyclists counted at Maisonneuve 2 in 30 days of avril 2010 (mean 2718 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1273856400	4613.87096774194	143030 cyclists counted at Maisonneuve 2 in 31 days of mai 2010 (mean 4613 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1276534800	4868.9	146067 cyclists counted at Maisonneuve 2 in 30 days of juin 2010 (mean 4868 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1279126800	5217.8064516129	161752 cyclists counted at Maisonneuve 2 in 31 days of juillet 2010 (mean 5217 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1281805200	4910.1935483871	152216 cyclists counted at Maisonneuve 2 in 31 days of ao没t 2010 (mean 4910 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1284483600	4559.83333333333	136795 cyclists counted at Maisonneuve 2 in 30 days of septembre 2010 (mean 4559 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2
